,match_id,runs_after_10_overs,wickets_left,final_score
163,501205,50,8,140
164,501206,67,8,188
165,501207,65,6,148
166,501208,73,8,175
167,501209,67,9,159
168,501210,71,9,182
169,501211,80,9,183
170,501212,81,9,165
171,501213,98,7,187
172,501216,90,9,168
173,501219,55,7,132
174,501220,106,8,195
175,501221,67,8,164
176,501222,76,9,171
177,501223,115,10,231
178,501224,72,6,172
179,501225,54,7,109
180,501226,66,8,142
181,501227,69,7,160
182,501228,54,6,141
183,501229,37,7,129
184,501230,64,8,148
185,501231,50,6,94
186,501232,78,8,181
187,501233,46,7,157
188,501234,55,6,119
189,501235,77,8,143
190,501236,58,9,165
191,501237,67,9,159
192,501238,62,7,140
193,501239,73,9,169
194,501240,86,10,147
195,501241,65,8,160
196,501242,69,8,156
197,501243,67,8,175
198,501244,103,9,205
199,501245,40,8,114
200,501246,76,8,178
201,501247,72,7,125
202,501248,71,8,119
203,501249,84,9,196
204,501250,72,8,136
205,501251,85,9,163
206,501252,74,8,146
207,501253,67,8,176
208,501254,103,9,178
209,501256,53,7,135
210,501257,70,9,170
211,501259,62,5,136
212,501260,99,9,232
213,501261,64,7,152
214,501262,54,7,118
215,501263,55,8,133
216,501264,85,10,198
217,501266,36,6,128
218,501267,81,7,175
219,501268,73,8,175
220,501269,49,6,147
221,501270,111,10,185
222,501271,94,10,205
223,548308,51,6,129
224,548309,82,9,191
225,548310,69,6,157
226,548311,75,7,193
227,548312,68,7,164
228,548313,71,8,166
229,548314,61,7,138
230,548315,92,9,165
231,548316,66,6,110
232,548317,80,7,197
233,548318,96,9,205
234,548320,58,7,131
235,548322,71,8,155
236,548323,60,8,134
237,548324,61,10,195
238,548326,83,10,196
239,548327,96,9,182
240,548328,63,8,124
241,548321,84,8,157
242,548330,68,10,164
243,548331,70,7,163
244,548332,62,8,146
245,548333,88,9,192
246,548334,58,8,163
247,548335,67,9,126
248,548336,62,8,189
249,548337,50,8,146
250,548339,56,8,168
251,548341,71,8,177
252,548342,88,10,207
253,548343,77,9,156
254,548344,87,10,190
255,548345,73,8,152
256,548347,73,8,139
257,548348,58,8,186
258,548349,80,9,141
259,548350,59,9,158
260,548351,72,8,120
261,548352,82,8,160
262,548353,98,10,150
263,548354,94,8,177
264,548355,72,8,173
265,548356,74,10,181
266,548357,79,8,153
267,548358,56,8,125
268,548359,86,8,170
269,548360,48,7,141
270,548329,64,8,187
271,548361,61,7,126
272,548362,88,9,173
273,548363,76,9,182
274,548364,52,6,114
275,548365,77,9,170
276,548366,76,8,190
277,548367,69,7,171
278,548368,86,10,158
279,548369,64,6,136
280,548370,54,7,140
281,548371,45,7,120
282,548372,79,9,215
283,548373,61,7,126
284,548374,50,6,141
285,548375,45,8,136
286,548376,47,7,132
287,548377,74,8,162
288,548378,68,9,162
289,548379,61,8,187
